imm = #$00, zp = $00, zpx = $00,X, zpy = $00,Y, izx = ($00,X), izy= ($00),Y
abs = $0000, abx = $0000,X, aby = $0000,Y, ind=($0000), rel = $0000 + PC
Opcode (aaabbbcc)    (cc)   (aaa)  (bbb)
('00    ', 0, 0, 0, 'BRK, NULL, 7')
('04    ', 0, 0, 1, '*NOP, zp, 3')
('08    ', 0, 0, 2, 'PHP, NULL, 3')
('0C    ', 0, 0, 3, '*NOP, abs, 4')
('10    ', 0, 0, 4, 'BPL, rel, 2*')
('14    ', 0, 0, 5, '*NOP, zpx, 4')
('18    ', 0, 0, 6, 'CLC, NULL,  2')
('1C    ', 0, 0, 7, '*NOP, abx, 4*')
('20    ', 0, 1, 0, 'JSR, abs, 6')
('24    ', 0, 1, 1, 'BIT, zp, 3')
('28    ', 0, 1, 2, 'PLP, NULL, 4')
('2C    ', 0, 1, 3, 'BIT, abs, 4')
('30    ', 0, 1, 4, 'BMI, rel, 2*')
('34    ', 0, 1, 5, '*NOP, zpx, 4')
('38    ', 0, 1, 6, 'SEC, NULL, 2')
('3C    ', 0, 1, 7, '*NOP, abx, 4*')
('40    ', 0, 2, 0, 'RTI, NULL, 6')
('44    ', 0, 2, 1, '*NOP, zp, 3')
('48    ', 0, 2, 2, 'PHA, NULL, 3')
('4C    ', 0, 2, 3, 'JMP, abs, 3')
('50    ', 0, 2, 4, 'BVC, rel, 2*')
('54    ', 0, 2, 5, '*NOP, zpx, 4')
('58    ', 0, 2, 6, 'CLI, NULL, 2')
('5C    ', 0, 2, 7, '*NOP, abx, 4*')
('60    ', 0, 3, 0, 'RTS, NULL, 6')
('64    ', 0, 3, 1, '*NOP, zp, 3')
('68    ', 0, 3, 2, 'PLA, NULL, 4')
('6C    ', 0, 3, 3, 'JMP, ind, 5')
('70    ', 0, 3, 4, 'BVS, rel, 2*')
('74    ', 0, 3, 5, '*NOP, zpx, 4')
('78    ', 0, 3, 6, 'SEI, NULL, 2')
('7C    ', 0, 3, 7, '*NOP, abx, 4*')
('80    ', 0, 4, 0, '*NOP, imm, 2')
('84    ', 0, 4, 1, 'STY, zp, 3')
('88    ', 0, 4, 2, 'DEY, NULL, 2')
('8C    ', 0, 4, 3, 'STY, abs, 4')
('90    ', 0, 4, 4, 'BCC, rel, 2*')
('94    ', 0, 4, 5, 'STY, zpx, 4')
('98    ', 0, 4, 6, 'TYA, NULL, 2')
('9C    ', 0, 4, 7, '**SHY, abx, 5')
('A0    ', 0, 5, 0, 'LDY, imm, 2')
('A4    ', 0, 5, 1, 'LDY, zp, 3')
('A8    ', 0, 5, 2, 'TAY, NULL, 2')
('AC    ', 0, 5, 3, 'LDY, abs, 4')
('B0    ', 0, 5, 4, 'BCS, rel, 2*')
('B4    ', 0, 5, 5, 'LDY, zpx, 4')
('B8    ', 0, 5, 6, 'CLV, NULL, 2')
('BC    ', 0, 5, 7, 'LDY, abx, 4*')
('C0    ', 0, 6, 0, 'CPY, imm, 2')
('C4    ', 0, 6, 1, 'CPY, zp, 3')
